tweet,text,hashtag,mention,username,like_count,retweet_count,tweet_length,tweet_word_count
5 minute testing go ... join u live paddock reaction analysis # f1 # f1testing,5 minute testing go ... join u live paddock reaction analysis,f1  f1testing,,F1,1237,114,118,23
checo top chart 1:30.305 time beat 45 minute go ! # f1 # f1testing,checo top chart 1:30.305 time beat 45 minute go !,f1  f1testing ,,F1,18657,1147,118,20
race weekend yet ! # f1 # f1testing,race weekend yet !,f1  f1testing ,,F1,6003,362,78,11
dark mode final 90 minute testing # f1 # f1testing,dark mode final 90 minute testing,f1  f1testing ,,F1,2751,189,101,16
"taste come next week , perhaps ? # f1 # f1testing","taste come next week , perhaps ?",f1  f1testing ,,F1,8634,524,87,13
"lap , lap lap ! perez albon clocked 100 lap today # f1 # f1testing","lap , lap lap ! perez albon clocked 100 lap today",f1  f1testing ,,F1,3167,188,129,21
yuki spotted pit lane # f1 # f1testing,yuki spotted pit lane,f1  f1testing ,,F1,34398,1604,68,9
"track action max today , keeping close eye competition # f1 # f1testing","track action max today , keeping close eye competition",f1  f1testing ,,F1,3757,245,122,20
art artist # f1 # f1testing,art artist,f1  f1testing ,,F1,20055,766,91,9
spark formula 1 car one best collaboration time # f1 # f1testing,spark formula 1 car one best collaboration time,f1  f1testing ,,F1,3655,304,109,17
back track final session testing ! follow along # f1 # f1testing,back track final session testing ! follow along,f1  f1testing ,,F1,2059,128,135,18
valtteri bottas grind unfortunate halt ! # f1 # f1testing,valtteri bottas grind unfortunate halt !,f1  f1testing ,,F1,2913,150,88,11
george russell lay rubber # f1 # f1testing @ mercedesamgf1,george russell lay rubber,f1  f1testing ,mercedesamgf1 ,F1,4615,282,95,11
"half day testing remains ! , loved seeing 2023 car track # f1 # f1testing","half day testing remains ! , loved seeing 2023 car track",f1  f1testing ,,F1,2642,178,129,21
charles leclerc lead george russell # f1 # f1testing,charles leclerc lead george russell,f1  f1testing   ,,F1,2061,233,80,9
oscar piastri take @ mclarenf1 spin luckily quick-thinking aussie able save continue ! # f1 # f1testing,oscar piastri take spin luckily quick-thinking aussie able save continue !,f1  f1testing ,mclarenf1 ,F1,3577,201,160,24
charles leclerc hold strong bring afternoon ! # f1 # f1testing,charles leclerc hold strong bring afternoon !,f1  f1testing ,,F1,5683,490,96,12
,,,,F1,3798,327,23,1
"rear wing fanatic , got something ! # f1 # f1testing","rear wing fanatic , got something !",f1  f1testing ,,F1,16187,723,104,15
red flag valtteri bottas stopped track # f1 # f1testing,red flag valtteri bottas stopped track,f1  f1testing ,,F1,6365,276,96,15
"oscar piastri get solid advice fellow aussie mentor , mark webber ! # f1 # f1testing @ aussiegrit","oscar piastri get solid advice fellow aussie mentor , mark webber !",f1  f1testing ,aussiegrit ,F1,4077,156,136,18
two hour morning testing session remaining ... @ charles_leclerc top spot lap time 1:31.024 # f1 # f1testing @ scuderiaferrari,two hour morning testing session remaining ... top spot lap time 1:31.024,f1  f1testing ,charles_leclerc  scuderiaferrari ,F1,5882,350,195,28
"final day testing way ! timely reminder , one week light real # f1 # f1testing","final day testing way ! timely reminder , one week light real",f1  f1testing ,,F1,3997,242,152,26
oscar piastri big spinning moment track ! australian driver recovers quickly continue # f1 # f1testing,oscar piastri big spinning moment track ! australian driver recovers quickly continue,f1  f1testing ,,F1,8425,282,151,22
hulk * literally * smash fastest time board thus far p1 @ haasf1team driver three half hour remain morning session ! # f1 # f1testing,hulk * literally * smash fastest time board thus far p1 driver three half hour remain morning session !,f1  f1testing ,haasf1team ,F1,3803,133,198,32
green light morning session resumed ! hulk already working hard # f1 # f1testing,green light morning session resumed ! hulk already working hard,f1  f1testing ,,F1,2313,125,120,17
red flag session briefly red-flagged retrieve sensor strip fallen sergio perez car ! # f1 # f1testing,red flag session briefly red-flagged retrieve sensor strip fallen sergio perez car !,f1  f1testing ,,F1,6870,264,156,24
final day testing go ! felipe drugovich lead pack put lap follow along # f1 # f1testing,final day testing go ! felipe drugovich lead pack put lap follow along,f1  f1testing ,,F1,2934,169,170,27
final day pre-season test bahrain ! find behind wheel # f1 # f1testing,final day pre-season test bahrain ! find behind wheel,f1  f1testing   ,,F1,1533,82,139,23
day 2 pre-season test bag one day go ! # f1 # f1testing,day 2 pre-season test bag one day go !,f1  f1testing ,,F1,4262,290,103,18
good guy @ georgerussell63 # f1 # f1testing,good guy,f1  f1testing ,georgerussell63 ,F1,6767,352,67,7
"new era , old banter drive survive season 5 , airing @ netflix # f1 # drivetosurvive5","new era , old banter drive survive season 5 , airing",f1  drivetosurvive5 ,netflix ,F1,7029,516,135,22
waiting mate @ landonorris watch @ max33verstappen zoom past # f1 # f1testing,waiting mate watch zoom past,f1  f1testing ,landonorris  max33verstappen ,F1,5669,299,123,17
max making move catch highlight second day testing ! # f1 # f1testing,max making move catch highlight second day testing !,f1  f1testing,,F1,1908,187,100,19
taking sky .. street ! @ qatarairways formula 1 enter multi year partnership special donut lusail boulevard celebrate ... # f1,taking sky .. street ! formula 1 enter multi year partnership special donut lusail boulevard celebrate ...,f1 ,qatarairways ,F1,1435,122,213,32
"2022 vs. 2023 closer look change made aston martin , ferrari , mclaren red bull racing # f1 # f1testing","2022 vs. 2023 closer look change made aston martin , ferrari , mclaren red bull racing",f1  f1testing ,,F1,3451,295,147,24
simply mesmerising @ alo_oficial take @ astonmartinf1 car lap sunset hour # f1 # f1testing,simply mesmerising take car lap sunset hour,f1  f1testing ,alo_oficial  astonmartinf1 ,F1,5217,395,130,18
initial thought 2023 competitive order offered find team principal impressed thus far # f1 # f1testing,initial thought 2023 competitive order offered find team principal impressed thus far,f1  f1testing   ,,F1,1175,80,179,28
george russell testing session came early end due stoppage # f1 # f1testing,george russell testing session came early end due stoppage,f1  f1testing ,,F1,3614,225,116,17
mighty effort alphatauri williams day 2 testing # f1 # f1testing,mighty effort alphatauri williams day 2 testing,f1  f1testing ,,F1,5347,384,104,16
zhou guanyu take top spot eventful day 2 pre-season test bahrain # f1 # f1testing,zhou guanyu take top spot eventful day 2 pre-season test bahrain,f1  f1testing   ,,F1,1965,144,129,21
"day 2 classification big lap number board logan sargeant , fernando alonso zhou guanyu ! # f1 # f1testing","day 2 classification big lap number board logan sargeant , fernando alonso zhou guanyu !",f1  f1testing ,,F1,7575,738,149,23
day 2 testing zhou guanyu put @ alfaromeof1 top day 2 testing # f1 # f1testing,day 2 testing zhou guanyu put top day 2 testing,f1  f1testing ,alfaromeof1 ,F1,2421,208,122,21
strange happening alfa romeo williams near ending day 2 testing # f1 # f1testing,strange happening alfa romeo williams near ending day 2 testing,f1  f1testing ,,F1,3122,173,130,21
hydraulic failure classed gremlin behind george russell earlier stoppage # f1 # f1testing,hydraulic failure classed gremlin behind george russell earlier stoppage,f1  f1testing   ,,F1,1842,145,127,16
"honorary aussie spotted mullet , @ valtteribottas # f1 # f1testing","honorary aussie spotted mullet ,",f1  f1testing ,valtteribottas ,F1,4921,205,118,16
light never tire view # f1 # f1testing,light never tire view,f1  f1testing ,,F1,3663,330,93,15
max verstappen sending past hulk dusting cobweb prior bahrain grand prix ! # f1 # f1testing,max verstappen sending past hulk dusting cobweb prior bahrain grand prix !,f1  f1testing ,,F1,2232,114,145,22
happy drive survive season 5 release day @ netflix ! ! ! kick watch party # f1tracks playlist featuring like @ raye @ biffyclyro @ sigmahq @ youmeatsix & ! listen @ spotify # f1,happy drive survive season 5 release day ! ! ! kick watch party playlist featuring like & ! listen,f1tracks  f1,netflix raye  biffyclyro  sigmahq  youmeatsix  spotify ,F1,1454,142,247,38
green light afternoon session resume following george russell stoppage time get lap board ! # f1 # f1testing,green light afternoon session resume following george russell stoppage time get lap board !,f1  f1testing ,,F1,2308,116,166,25
red flag mercedes george russell stopped track # f1 # f1testing,red flag mercedes george russell stopped track,f1  f1testing ,,F1,24298,847,110,17
sunset hour bahrain # f1 # f1testing @ mclarenf1,sunset hour bahrain,f1  f1testing ,mclarenf1 ,F1,3633,256,75,9
light * kinda * away go # f1 # f1testing,light * kinda * away go,f1  f1testing ,,F1,6076,448,81,12
checo come closer look 2023 competition # f1 # f1testing,checo come closer look 2023 competition,f1  f1testing ,,F1,4497,185,96,14
checo george catch-up ! think talking ? # f1 # f1testing,checo george catch-up ! think talking ?,f1  f1testing ,,F1,9816,304,122,19
"oscar piastri , calm quietly confident ahead rookie season race debut # f1 # f1testing","oscar piastri , calm quietly confident ahead rookie season race debut",f1  f1testing   ,,F1,1350,111,123,17
"fastest driver track far , max verstappen reigning champion team @ redbullracing looking confident # f1 # f1testing","fastest driver track far , max verstappen reigning champion team looking confident",f1  f1testing ,redbullracing ,F1,7598,392,176,26
day 2 afternoon session pre-season test way ! zhou head final run @ alfaromeof1 car # f1 # f1testing,day 2 afternoon session pre-season test way ! zhou head final run car,f1  f1testing ,alfaromeof1 ,F1,1758,112,167,28
"streaming , @ netflix drive survive , season 5 ! # f1 # drivetosurvive5","streaming , drive survive , season 5 !",f1  drivetosurvive5 ,netflix ,F1,18890,1543,118,17
"might number 44 , lewis left thiccccck number 11 track # f1 # f1testing","might number 44 , lewis left thiccccck number 11 track",f1  f1testing ,,F1,11164,535,118,19
officially half-way # f1testing running order early session day 2 # f1,officially half-way running order early session day 2,f1testing  f1 ,,F1,3345,291,135,20
carlos charge friday morning # f1 # f1testing,carlos charge friday morning,f1  f1testing   ,,F1,1720,125,81,11
soon . # f1 # f1testing,soon .,f1  f1testing ,,F1,3958,237,68,6
"# 2 currently # 2 , fastest overall sector # 2 productive morning @ logansargeant mean 0.063s behind pace-setter sainz # f1 # f1testing","currently , fastest overall sector productive morning mean 0.063s behind pace-setter sainz",2  2 2  f1  f1testing ,logansargeant ,F1,2613,119,183,26
half hour left clock friday morning # f1 # f1testing,half hour left clock friday morning,f1  f1testing ,,F1,2664,173,95,15
black yellow bahrain sun # f1 # f1testing @ lewishamilton,black yellow bahrain sun,f1  f1testing ,lewishamilton ,F1,7820,342,96,12
* almost * feel like racing # f1 # f1testing,* almost * feel like racing,f1  f1testing ,,F1,4717,237,71,9
carlos sainz fire 1:32.486 go p1 # f1 # f1testing,carlos sainz fire 1:32.486 go p1,f1  f1testing ,,F1,7859,373,83,13
get enough # f1testing ? got covered . follow along ! # f1,get enough ? got covered . follow along !,f1testing f1   ,,F1,1317,69,109,16
"fluoro-checo deployed full day max thursday , @ schecoperez hot seat friday morning @ redbullracing # f1 # f1testing","fluoro-checo deployed full day max thursday , hot seat friday morning",f1  f1testing ,schecoperez  redbullracing   ,F1,8064,268,176,26
"something @ kevinmagnussen bahrain , ? go p1 1:33.710 opening half hour day 2 # f1 # f1testing @ haasf1team","something bahrain , ? go p1 1:33.710 opening half hour day 2",f1  f1testing ,kevinmagnussen  haasf1team ,F1,2280,96,186,28
"@ mclarenf1 international space station , reporting duty # f1 # f1testing","international space station , reporting duty",f1  f1testing ,mclarenf1 ,F1,5922,223,104,12
"go second day bahrain ! alonso , zhou , norris sainz emerge instantly # f1 # f1testing","go second day bahrain ! alonso , zhou , norris sainz emerge instantly",f1  f1testing ,,F1,4956,214,135,21
see 17 driver on-track second day testing # f1 # f1testing,see 17 driver on-track second day testing,f1  f1testing  ,,F1,1410,78,101,15
"day 1 testing , done dusted # f1 # f1testing","day 1 testing , done dusted",f1  f1testing ,,F1,4241,298,75,11
learn opening day running pre-season test ? let find ! # f1 # f1testing,learn opening day running pre-season test ? let find !,f1  f1testing   ,,F1,1358,74,136,22
. . t. get . enough . # f1 # f1testing,. . t. get . enough .,f1  f1testing ,,F1,10380,940,71,9
formula 1 car roared life hit track bahrain opening day # f1testing catch highlight day 1 # f1,formula 1 car roared life hit track bahrain opening day catch highlight day 1,f1testing  f1,,F1,1698,142,149,31
oh missed sight sound car # f1 # f1testing,oh missed sight sound car,f1  f1testing ,,F1,7577,782,94,15
", next sunday bahrain lad ? first testing tussle season # f1 # f1testing",", next sunday bahrain lad ? first testing tussle season",f1  f1testing ,,F1,4051,198,134,22
"mercedes , ferrari red bull put lap opening day # f1testing , strong big 3 looking ? # f1","mercedes , ferrari red bull put lap opening day , strong big 3 looking ?",f1testing  f1   ,,F1,1637,148,163,28
"one positive @ max33verstappen , one strong-looking @ redbullracing car # f1 # f1testing","one positive , one strong-looking car",f1  f1testing   ,max33verstappen  redbullracing ,F1,2051,116,129,15
guy . literally # f1 # f1testing @ mercedesamgf1,guy . literally,f1  f1testing ,mercedesamgf1 ,F1,2192,128,72,7
lewis-ception # f1 # f1testing @ lewishamilton @ mercedesamgf1,lewis-ception,f1  f1testing ,lewishamilton  mercedesamgf1 ,F1,5726,340,85,7
"wanting closer look bright-green paint car # f1testing ... watch flo-vis paint applied @ alo_oficial car , quick dry ! # f1","wanting closer look bright-green paint car ... watch flo-vis paint applied car , quick dry !",f1testing f1 ,alo_oficial ,F1,4097,242,220,37
red bull racing top leaderboard running opening day testing # f1 # f1testing,red bull racing top leaderboard running opening day testing,f1  f1testing ,,F1,10008,616,120,18
solid day 1 testing across board # f1 # f1testing,solid day 1 testing across board,f1  f1testing   ,,F1,1454,154,85,13
"day 1 testing classification max verstappen red bull fire , impressive time fernando alonso @ astonmartinf1 car , ferraris close behind # f1 # f1testing","day 1 testing classification max verstappen red bull fire , impressive time fernando alonso car , ferraris close behind",f1  f1testing ,astonmartinf1 ,F1,21821,1968,218,34
day 1 testing 850km done 157 lap board fastest time day monstrous effort @ max33verstappen @ redbullracing # f1 # f1testing,day 1 testing 850km done 157 lap board fastest time day monstrous effort,f1  f1testing ,max33verstappen   redbullracing ,F1,12149,644,185,31
wore best ? @ scuderiaferrari whisker @ valtteribottas smashing moustache # f1 # f1testing,wore best ? whisker smashing moustache,f1  f1testing ,scuderiaferrari  valtteribottas ,F1,4779,212,130,15
f1 car night hit different # f1 # f1testing,f1 car night hit different,f1  f1testing ,,F1,4870,309,78,11
oh missed zoomies # f1 # f1testing,oh missed zoomies,f1  f1testing ,,F1,3994,209,66,9
light mode dark mode 2023 f1 car light ? sign u # f1 # f1testing,light mode dark mode 2023 f1 car light ? sign u,f1  f1testing ,,F1,4387,295,110,19
max verstappen set fastest time day 1 ! lap time 1:32.839 reigning champion # f1 # f1testing @ redbullracing,max verstappen set fastest time day 1 ! lap time 1:32.839 reigning champion,f1  f1testing ,redbullracing ,F1,13721,604,160,25
,,,,F1,3971,437,23,1
compare contrast 2023 car ! # f1 # f1testing,compare contrast 2023 car !,f1  f1testing ,,F1,14514,1122,77,10
difficulty @ mclarenf1 gaffer tape appears smooth start testing papaya team # f1 # f1testing,difficulty gaffer tape appears smooth start testing papaya team,f1  f1testing ,mclarenf1 ,F1,5019,167,158,24
"felipe drugovich explains stoppage morning session , @ astonmartinf1 provides update lance stroll recovery # f1 # f1testing","felipe drugovich explains stoppage morning session , provides update lance stroll recovery",f1  f1testing   ,astonmartinf1 ,F1,1464,107,174,22
"logan sargeant take track first testing outing formula 1 ! good , logie sarge ! # f1 # f1testing @ williamsracing","logan sargeant take track first testing outing formula 1 ! good , logie sarge !",f1  f1testing ,williamsracing ,F1,3722,158,168,26
meet stunning 2023 car one favourite ? ! # f1 # f1testing,meet stunning 2023 car one favourite ? !,f1  f1testing ,,F1,12961,1476,102,15
"max verstappen first car track afternoon done 71 lap thus far , let see many achieve day end ! # f1","max verstappen first car track afternoon done 71 lap thus far , let see many achieve day end !",f1 ,,F1,2931,152,178,33
"afternoon session # f1testing begun ! , fernando alonso take ride all-new @ astonmartinf1 car # f1","afternoon session begun ! , fernando alonso take ride all-new car",f1testing  f1,astonmartinf1 ,F1,1820,116,135,24
tough start testing aston martin @ felipedrugovich went finish p7 40 lap completed # f1 # f1testing,tough start testing aston martin went finish p7 40 lap completed,f1  f1testing ,felipedrugovich ,F1,4491,193,147,23
meet ferrari new dimple # f1 # f1testing,meet ferrari new dimple,f1  f1testing ,,F1,7334,576,67,8
valtteri chill # f1 # f1testing @ valtteribottas,valtteri chill,f1  f1testing ,valtteribottas ,F1,12820,603,79,9
report : max verstappen go quickest thursday morning session # f1 # f1testing,report : max verstappen go quickest thursday morning session,f1  f1testing  ,,F1,2731,238,111,12
f1 back ! carlos wait get going ! count first overtake year ? # f1 # f1testing @ carlossainz55,f1 back ! carlos wait get going ! count first overtake year ?,f1  f1testing ,carlossainz55 ,F1,12169,948,164,27
plenty lap board morning session # f1 # f1testing,plenty lap board morning session,f1  f1testing ,,F1,4527,521,96,14
first session done ! @ max33verstappen top chart 1:32.959 # f1 # f1testing,first session done ! top chart 1:32.959,f1  f1testing ,max33verstappen ,F1,10301,593,121,17
russell gasly first testing tussle ! # f1 # f1testing,russell gasly first testing tussle !,f1  f1testing ,,F1,5046,213,85,11
painting town # f1 # f1testing,painting town,f1  f1testing ,,F1,5834,382,61,7
mercedes w14 ferrari sf-23 # f1 # f1testing,mercedes w14 ferrari sf-23,f1  f1testing ,,F1,25861,1538,70,9
watch car hit track first time 2023 # f1 # f1testing,watch car hit track first time 2023,f1  f1testing  ,,F1,1480,128,99,16
"fastest time session far ? 1:33.253 , carlos sainz # f1 # f1testing","fastest time session far ? 1:33.253 , carlos sainz",f1  f1testing ,,F1,15907,654,109,16
"hulk smash rogue piece @ hulkhulkenberg vf-23 deposit track , team giving once-over returnee p3 timing screen currently # f1 # f1testing","hulk smash rogue piece vf-23 deposit track , team giving once-over returnee p3 timing screen currently",f1  f1testing ,hulkhulkenberg ,F1,2330,111,214,34
mercedes admin reveal # f1 # f1testing @ mercedesamgf1,mercedes admin reveal,f1  f1testing ,mercedesamgf1 ,F1,13719,552,79,8
f1 car back track love see ! # f1 # f1testing,f1 car back track love see !,f1  f1testing ,,F1,22034,2439,88,16
g day @ oscarpiastri # f1 # f1testing,g day,f1  f1testing ,oscarpiastri ,F1,5542,256,62,6
green light way bahrain ! # f1 # f1testing,green light way bahrain !,f1  f1testing,,F1,4113,461,64,12
ready testing ? ! quick reminder line-up # f1 # f1testing,ready testing ? ! quick reminder line-up,f1  f1testing ,,F1,6303,652,113,16
f1 back ... time smile ! # f1 # f1testing,f1 back ... time smile !,f1  f1testing ,,F1,11385,1028,70,10
running order # f1testing bahrain ! # f1,running order bahrain !,f1testing  f1 ,,F1,12678,1276,76,10
"time week - quiz time ! let test brain see keeping date latest f1 news go , go , go # f1","time week - quiz time ! let test brain see keeping date latest f1 news go , go , go",f1   ,,F1,1095,87,182,35
weekend sorted else thinking ? # f1 # f1testing,weekend sorted else thinking ?,f1  f1testing ,,F1,9792,1031,102,15
"one sleep testing ! , got another must-read keep loop ! essential guide thing # f1testing keep eye # f1","one sleep testing ! , got another must-read keep loop ! essential guide thing keep eye",f1testing  f1   ,,F1,2348,211,204,36
press one ... # f1,press one ...,f1 ,,F1,22599,765,56,8
formula 1 qatar airway f1 welcome aboard qatar airway new global airline partner multi-year deal # f1 @ qatarairways,formula 1 qatar airway f1 welcome aboard qatar airway new global airline partner multi-year deal,f1 ,qatarairways   ,F1,2268,159,163,24
"fire f1 22 , set blistering lap time @ alfaromeof1 2023 car ... even driver ! # f1 @ easportsf1","fire f1 22 , set blistering lap time 2023 car ... even driver !",f1 ,alfaromeof1  easportsf1,F1,1517,127,130,23
think quickest driver # f1testing week ? drop answer ! # f1,think quickest driver week ? drop answer !,f1testing  f1,,F1,2087,85,106,20
"meet talented individual behind @ lewishamilton fashion drip , stylist @ ericjmcneal , explore story behind hamilton best paddock fit 2022 # f1 @ mercedesamgf1","meet talented individual behind fashion drip , stylist , explore story behind hamilton best paddock fit 2022",f1 ,lewishamilton  ericjmcneal  mercedesamgf1   ,F1,2537,226,225,29
story continues hulk wait see german driver new @ haasf1team car ! # f1 @ hulkhulkenberg,story continues hulk wait see german driver new car !,f1 ,haasf1team  hulkhulkenberg ,F1,3515,190,149,24
esteban ocon pierre gasly joint number one alpine 2023 # f1 @ alpinef1team,esteban ocon pierre gasly joint number one alpine 2023,f1 ,alpinef1team   ,F1,1776,128,118,17
five must-know term ahead # f1testing week # f1,five must-know term ahead week,f1testing  f1   ,,F1,1655,204,91,12
buon compleanno andrea ! wishing happy birthday best luck bahrain week # f1 @ mclarenf1,buon compleanno andrea ! wishing happy birthday best luck bahrain week,f1 ,mclarenf1 ,F1,4264,186,144,23
f1 fantasy back 2023 ! featuring : new prize exciting power-ups change groovy badge much ! wait # f1 # f1fantasy,f1 fantasy back 2023 ! featuring : new prize exciting power-ups change groovy badge much ! wait,f1  f1fantasy   ,,F1,1339,109,179,29
testing drive survive season 5 week ? ! bring . . ! # f1,testing drive survive season 5 week ? ! bring . . !,f1 ,,F1,14045,1627,105,17
mercedes revealed junior programme line-up 2023 keep eye youngster # f1 @ mercedesamgf1,mercedes revealed junior programme line-up 2023 keep eye youngster,f1 ,mercedesamgf1   ,F1,1896,134,146,20
"oscar piastri , nyck de vries logan sargeant begin rookie season could emulate famously fast starter ? # f1","oscar piastri , nyck de vries logan sargeant begin rookie season could emulate famously fast starter ?",f1   ,,F1,1850,166,179,28
"new tyre , wet weather bodykit testing , circuit change ! take deeper dive decision made relating upcoming season beyond # f1","new tyre , wet weather bodykit testing , circuit change ! take deeper dive decision made relating upcoming season beyond",f1   ,,F1,1854,166,187,29
next time see 'll track ! # f1 # f1testing,next time see 'll track !,f1  f1testing ,,F1,1752,109,85,13
looking good # f1,looking good,f1 ,,F1,1925,145,43,5
got favourite ? # f1,got favourite ?,f1 ,,F1,1585,129,48,6
ready track ! # f1,ready track !,f1 ,,F1,2123,124,51,7
give new 2023 driver racing suit n't look smart # f1,give new 2023 driver racing suit n't look smart,f1 ,,F1,16942,703,105,18
"new season , fresh challenge @ pierregasly # f1 @ alpinef1team","new season , fresh challenge",f1 ,pierregasly  alpinef1team ,F1,7118,448,89,10
aston martin reserve driver felipe drugovich replace injured lance stroll # f1testing bahrain # f1,aston martin reserve driver felipe drugovich replace injured lance stroll bahrain,f1testing  f1   ,,F1,5126,429,139,18
new # f1testing ? get speed essential guide # f1,new ? get speed essential guide,f1testing f1   ,,F1,1770,142,94,14
